Dag;TA-01;TA-07;TA-13;TA-19;TAM;TAX;TAN
1;-5.9;-6.6;-6.1;-8.9;-7.4;-3.5;-9.1
2;-10.0;-10.7;-10.5;-10.2;-10.3;-9.0;-11.5
3;-8.5;-6.0;-5.6;-8.9;-7.0;-4.2;-10.7
4;-7.2;-9.5;-11.2;-13.4;-10.9;-6.7;-13.4
5;-15.1;-14.5;-13.4;-12.0;-13.1;-11.3;-15.4
6;-11.8;-7.8;-4.7;-3.1;-6.0;-2.9;-12.5
7;-2.3;-5.6;-6.9;-7.0;-6.1;-1.1;-7.6
8;-6.4;-1.8;-0.6;-1.1;-2.4;0.1;-8.7
9;-1.4;-1.3;0.1;-1.3;-0.9;1.9;-2.5
10;-2.5;-4.2;-4.6;-5.3;-4.3;-1.3;-5.6
11;-3.7;-3.7;-4.7;-6.6;-4.9;-3.1;-6.6
12;-8.3;-6.5;-6.6;-7.9;-7.2;-5.7;-8.9
13;-7.5;-10.1;-8.4;-7.6;-8.5;-7.2;-10.5
14;-8.2;-9.3;-11.1;-12.5;-10.7;-7.2;-12.8
15;-12.8;-13.0;-13.2;-12.7;-12.7;-11.3;-13.9
16;-11.7;-9.7;-8.8;-7.2;-8.7;-7.1;-13.1
17;-7.2;-2.8;-0.1;0.0;-1.5;0.6;-8.7
18;1.6;1.5;1.0;0.3;0.8;2.1;-0.1
19;0.0;-0.4;1.6;0.5;0.7;2.4;-1.7
20;0.9;0.2;0.9;0.8;0.6;1.6;-0.1
21;0.2;-1.9;-1.1;1.4;-0.2;1.7;-2.2
22;2.6;1.0;-0.2;-6.0;-1.8;3.1;-6.3
23;-4.2;-3.9;-3.9;-3.9;-3.8;-2.8;-6.1
24;-4.3;-4.6;-3.1;-2.0;-3.5;-1.6;-5.8
25;-0.6;0.4;2.9;1.4;1.2;3.1;-2.2
26;0.7;0.1;2.2;2.8;1.6;3.4;-0.7
27;5.0;2.2;2.7;-2.4;0.7;5.9;-2.7
28;-5.2;-5.7;-3.4;-4.9;-4.8;-1.1;-7.4
29;-4.3;-5.6;-8.1;-8.7;-7.0;-3.4;-8.8
30;-7.4;-7.2;-4.3;-4.2;-5.6;-3.2;-8.8
31;-5.9;-5.2;-3.0;-3.7;-3.9;-0.2;-7.0
